Entidad,Gasto
AGUASCALIENTES,4834005133
BAJA CALIFORNIA,13757682674
BAJA CALIFORNIA SUR,3189301744
CAMPECHE,2824246679
COAHUILA DE ZARAGOZA,9423514693
COLIMA,3034680015
CHIAPAS,11576669657
CHIHUAHUA,11079392700
"CIUDAD DE MÉXICO
",40666054397
DURANGO,5342724931
GUANAJUATO,18444076558
GUERRERO,9074065658
HIDALGO,8478008939
JALISCO,31472833141
MÉXICO,59262451464
MICHOACÁN DE OCAMPO,16323107130
MORELOS,6352627894
NAYARIT,4736977291
NUEVO LEÓN,20240729294
OAXACA,10633418505
PUEBLA,17897822643
QUERÉTARO,8756489074
QUINTANA ROO,6436945495
SAN LUIS POTOSÍ,8155297305
SINALOA,10039369841
SONORA,9653495296
TABASCO,6667010484
TAMAULIPAS,10511606163
TLAXCALA,3290976995
"VERACRUZ DE IGNACIO DE LA LLAVE
",21655928919
YUCATÁN,8182468538
ZACATECAS,4838564451
