Entidad federativa,Población total
Aguascalientes,1425607.00
Baja California,3769020.00
Baja California Sur,798447.00
Campeche,928363.00
Coahuila de Zaragoza,3146771.00
Colima,731391.00
Chiapas,5543828.00
Chihuahua,3741869.00
Ciudad de México,9209944.00
Durango,1832650.00
Guanajuato,6166934.00
Guerrero,3540685.00
Hidalgo,3082841.00
Jalisco,8348151.00
México,16992418.00
Michoacán de Ocampo,4748846.00
Morelos,1971520.00
Nayarit,1235456.00
Nuevo León,5784442.00
Oaxaca,4132148.00
Puebla,6583278.00
Querétaro,2368467.00
Quintana Roo,1857985.00
San Luis Potosí,2822255.00
Sinaloa,3026943.00
Sonora,2944840.00
Tabasco,2402598.00
Tamaulipas,3527735.00
Tlaxcala,1342977.00
Veracruz de Ignacio de la Llave,8062579.00
Yucatán,2320898.00
Zacatecas,1622138.00
